id	name	type	category	pp	power	accuracy	status	status chance
140	Barrage	Normal	Physical	20	15	0.85		
141	Leech Life	Bug	Physical	10	80	1		
142	Lovely Kiss	Normal	Status	10	0	0.75	1	Sleep
143	Sky Attack	Flying	Physical	5	140	0.9		
144	Transform	Normal	Status	10	0	1		
145	Bubble	Water	Special	30	40	1		
146	Dizzy Punch	Normal	Physical	10	70	1		
147	Spore	Grass	Status	15	0	1	1	Sleep
148	Flash	Normal	Status	20	0	1		
149	Psywave	Psychic	Special	15	0	1		
150	Splash	Normal	Status	40	0	1		
151	Acid Armor	Poison	Status	20	0	1		
152	Crabhammer	Water	Physical	10	100	0.9		
153	Explosion	Normal	Physical	5	250	1		
154	Fury Swipes	Normal	Physical	15	18	0.8		
155	Bonemerang	Ground	Physical	10	50	0.9		
156	Rest	Psychic	Status	10	0	1	1	Sleep
157	Rock Slide	Rock	Physical	10	75	0.9		
158	Hyper Fang	Normal	Physical	15	80	0.9		
159	Sharpen	Normal	Status	30	0	1		
160	Conversion	Normal	Status	30	0	1		
161	Tri Attack	Normal	Special	10	80	1	0.2	Paralysis,Freeze,Burn
162	Super Fang	Normal	Physical	10	0	0.9		
163	Slash	Normal	Physical	20	70	1		
164	Substitute	Normal	Status	10	0	1		
165	Struggle	Normal	Physical	1	50	1		
166	Sketch	Normal	Status	1	0	1		
167	Triple Kick	Fighting	Physical	10	10	0.9		
168	Thief	Dark	Physical	25	60	1		
169	Spider Web	Bug	Status	10	0	1		
170	Mind Reader	Normal	Status	5	0	1		
171	Nightmare	Ghost	Status	15	0	1		
172	Flame Wheel	Fire	Physical	25	60	1	0.1	Burn
173	Snore	Normal	Special	15	50	1		
174	Curse	Ghost	Status	10	0	1	1	Confusion
175	Flail	Normal	Physical	15	0	1		
176	Conversion 2	Normal	Status	30	0	1		
177	Aeroblast	Flying	Special	5	100	0.95		
178	Cotton Spore	Grass	Status	40	0	1		
179	Reversal	Fighting	Physical	15	0	1		
180	Spite	Ghost	Status	10	0	1		
181	Powder Snow	Ice	Special	25	40	1	0.1	Freeze
182	Protect	Normal	Status	10	0	1		
183	Mach Punch	Fighting	Physical	30	40	1		
184	Scary Face	Normal	Status	10	0	1		
185	Feint Attack	Dark	Physical	20	60	1		
186	Sweet Kiss	Fairy	Status	10	0	0.75	1	Confusion
187	Belly Drum	Normal	Status	10	0	1		
188	Sludge Bomb	Poison	Special	10	90	1	0.3	Poison
189	Mud-Slap	Ground	Special	10	20	1		
190	Octazooka	Water	Special	10	65	0.85		
191	Spikes	Ground	Status	20	0	1		
192	Zap Cannon	Electric	Special	5	120	0.5	1	Paralysis
193	Foresight	Normal	Status	40	0	1		
194	Destiny Bond	Ghost	Status	5	0	1		
195	Perish Song	Normal	Status	5	0	1		
196	Icy Wind	Ice	Special	15	55	0.95		
197	Detect	Fighting	Status	5	0	1		
198	Bone Rush	Ground	Physical	10	25	0.9		
199	Lock-On	Normal	Status	5	0	1		
200	Outrage	Dragon	Physical	10	120	1		
201	Sandstorm	Rock	Status	10	0	1		
202	Giga Drain	Grass	Special	10	75	1		
203	Endure	Normal	Status	10	0	1		
204	Charm	Fairy	Status	20	0	1		
205	Rollout	Rock	Physical	20	30	0.9		
206	False Swipe	Normal	Physical	40	40	1		
207	Swagger	Normal	Status	15	0	0.85	1	Confusion
208	Milk Drink	Normal	Status	10	0	1		
209	Spark	Electric	Physical	20	65	1	0.3	Paralysis
210	Fury Cutter	Bug	Physical	20	40	0.95		
211	Steel Wing	Steel	Physical	25	70	0.9		
212	Mean Look	Normal	Status	5	0	1		
213	Attract	Normal	Status	15	0	1	1	Confusion
214	Sleep Talk	Normal	Status	10	0	1		
215	Heal Bell	Normal	Status	5	0	1		
216	Return	Normal	Physical	20	0	1		
217	Present	Normal	Physical	15	0	0.9		
218	Frustration	Normal	Physical	20	0	1		
219	Safeguard	Normal	Status	25	0	1		
220	Pain Split	Normal	Status	20	0	1		
221	Sacred Fire	Fire	Physical	5	100	0.95	0.5	Burn
222	Magnitude	Ground	Physical	30	0	1		
223	Dynamic Punch	Fighting	Physical	5	100	0.5	1	Confusion
224	Megahorn	Bug	Physical	10	120	0.85		
225	Dragon Breath	Dragon	Special	20	60	1	0.3	Paralysis
226	Baton Pass	Normal	Status	40	0	1		
227	Encore	Normal	Status	5	0	1		
228	Pursuit	Dark	Physical	20	40	1		
229	Rapid Spin	Normal	Physical	40	50	1		
230	Sweet Scent	Normal	Status	20	0	1		
231	Iron Tail	Steel	Physical	15	100	0.75		
232	Metal Claw	Steel	Physical	35	50	0.95		
233	Vital Throw	Fighting	Physical	10	70	1		
234	Morning Sun	Normal	Status	5	0	1		
235	Synthesis	Grass	Status	5	0	1		
236	Moonlight	Fairy	Status	5	0	1		
237	Hidden Power	Normal	Special	15	60	1		
238	Cross Chop	Fighting	Physical	5	100	0.8		
239	Twister	Dragon	Special	20	40	1		
240	Rain Dance	Water	Status	5	0	1		
241	Sunny Day	Fire	Status	5	0	1		
242	Crunch	Dark	Physical	15	80	1		
243	Mirror Coat	Psychic	Special	20	0	1		
244	Psych Up	Normal	Status	10	0	1		
245	Extreme Speed	Normal	Physical	5	80	1		
246	Ancient Power	Rock	Special	5	60	1		
247	Shadow Ball	Ghost	Special	15	80	1		
248	Future Sight	Psychic	Special	10	120	1		
249	Rock Smash	Fighting	Physical	15	40	1		
250	Whirlpool	Water	Special	15	35	0.85		
251	Beat Up	Dark	Physical	10	0	1		
252	Fake Out	Normal	Physical	10	40	1		
253	Uproar	Normal	Special	10	90	1		
254	Stockpile	Normal	Status	20	0	1		
255	Spit Up	Normal	Special	10	0	1		
256	Swallow	Normal	Status	10	0	1		
257	Heat Wave	Fire	Special	10	95	0.9	0.1	Burn
258	Hail	Ice	Status	10	0	1		
259	Torment	Dark	Status	15	0	1		
260	Flatter	Dark	Status	15	0	1	1	Confusion
261	Will-O-Wisp	Fire	Status	15	0	0.85	1	Burn
262	Memento	Dark	Status	10	0	1		
263	Facade	Normal	Physical	20	70	1		
264	Focus Punch	Fighting	Physical	20	150	1		
265	Smelling Salts	Normal	Physical	10	70	1		
266	Follow Me	Normal	Status	20	0	1		
267	Nature Power	Normal	Status	20	0	1		
268	Charge	Electric	Status	20	0	1		
269	Taunt	Dark	Status	20	0	1		
270	Helping Hand	Normal	Status	20	0	1		
271	Trick	Psychic	Status	10	0	1		
272	Role Play	Psychic	Status	10	0	1		
273	Wish	Normal	Status	10	0	1		
274	Assist	Normal	Status	20	0	1		
275	Ingrain	Grass	Status	20	0	1		
276	Superpower	Fighting	Physical	5	120	1		
277	Magic Coat	Psychic	Status	15	0	1		
278	Recycle	Normal	Status	10	0	1		
279	Revenge	Fighting	Physical	10	60	1		
280	Brick Break	Fighting	Physical	15	75	1		
281	Yawn	Normal	Status	10	0	1	1	Sleep
282	Knock Off	Dark	Physical	20	65	1		
283	Endeavor	Normal	Physical	5	0	1		
284	Eruption	Fire	Special	5	150	1		
285	Skill Swap	Psychic	Status	10	0	1		
286	Imprison	Psychic	Status	10	0	1		
287	Refresh	Normal	Status	20	0	1		
288	Grudge	Ghost	Status	5	0	1		
289	Snatch	Dark	Status	10	0	1		
290	Secret Power	Normal	Physical	20	70	1		
291	Dive	Water	Physical	10	80	1		
292	Arm Thrust	Fighting	Physical	20	15	1		
293	Camouflage	Normal	Status	20	0	1		
294	Tail Glow	Bug	Status	20	0	1		
295	Luster Purge	Psychic	Special	5	70	1		
296	Mist Ball	Psychic	Special	5	70	1		
297	Feather Dance	Flying	Status	15	0	1		
298	Teeter Dance	Normal	Status	20	0	1	1	Confusion
299	Blaze Kick	Fire	Physical	10	85	0.9	0.1	Burn
300	Mud Sport	Ground	Status	15	0	1		
301	Ice Ball	Ice	Physical	20	30	0.9		
302	Needle Arm	Grass	Physical	15	60	1		
303	Slack Off	Normal	Status	10	0	1		
304	Hyper Voice	Normal	Special	10	90	1		
305	Poison Fang	Poison	Physical	15	50	1	0.3	Poison
306	Crush Claw	Normal	Physical	10	75	0.95		
307	Blast Burn	Fire	Special	5	150	0.9		
308	Hydro Cannon	Water	Special	5	150	0.9		
309	Meteor Mash	Steel	Physical	10	90	0.9		
310	Astonish	Ghost	Physical	15	30	1		
311	Weather Ball	Normal	Special	10	50	1		
312	Aromatherapy	Grass	Status	5	0	1		
313	Fake Tears	Dark	Status	20	0	1		
314	Air Cutter	Flying	Special	25	60	0.95		
315	Overheat	Fire	Special	5	130	0.9		
316	Odor Sleuth	Normal	Status	40	0	1		
317	Rock Tomb	Rock	Physical	15	60	0.95		
318	Silver Wind	Bug	Special	5	60	1		
319	Metal Sound	Steel	Status	40	0	0.85		
320	Grass Whistle	Grass	Status	15	0	0.55	1	Sleep
321	Tickle	Normal	Status	20	0	1		
322	Cosmic Power	Psychic	Status	20	0	1		
323	Water Spout	Water	Special	5	150	1		
324	Signal Beam	Bug	Special	15	75	1		
325	Shadow Punch	Ghost	Physical	20	60	1		
326	Extrasensory	Psychic	Special	20	80	1		
327	Sky Uppercut	Fighting	Physical	15	85	0.9		
328	Sand Tomb	Ground	Physical	15	35	0.85		
329	Sheer Cold	Ice	Special	5	0	0.3		
330	Muddy Water	Water	Special	10	90	0.85		
331	Bullet Seed	Grass	Physical	30	25	1		
332	Aerial Ace	Flying	Physical	20	60	1		
333	Icicle Spear	Ice	Physical	30	25	1		
334	Iron Defense	Steel	Status	15	0	1		
335	Block	Normal	Status	5	0	1		
336	Howl	Normal	Status	40	0	1		
337	Dragon Claw	Dragon	Physical	15	80	1		
338	Frenzy Plant	Grass	Special	5	150	0.9		
339	Bulk Up	Fighting	Status	20	0	1		
340	Bounce	Flying	Physical	5	85	0.85	0.3	Paralysis
341	Mud Shot	Ground	Special	15	55	0.95		
342	Poison Tail	Poison	Physical	25	50	1	0.1	Poison
343	Covet	Normal	Physical	25	60	1		
344	Volt Tackle	Electric	Physical	15	120	1	0.1	Paralysis
345	Magical Leaf	Grass	Special	20	60	1		
346	Water Sport	Water	Status	15	0	1		
347	Calm Mind	Psychic	Status	20	0	1		
348	Leaf Blade	Grass	Physical	15	90	1		
349	Dragon Dance	Dragon	Status	20	0	1		
350	Rock Blast	Rock	Physical	10	25	0.9		
351	Shock Wave	Electric	Special	20	60	1		
352	Water Pulse	Water	Special	20	60	1	0.2	Confusion
353	Doom Desire	Steel	Special	5	140	1		
354	Psycho Boost	Psychic	Special	5	140	0.9		
355	Roost	Flying	Status	10	0	1		
356	Gravity	Psychic	Status	5	0	1		
357	Miracle Eye	Psychic	Status	40	0	1		
358	Wake-Up Slap	Fighting	Physical	10	70	1		
359	Hammer Arm	Fighting	Physical	10	100	0.9		
360	Gyro Ball	Steel	Physical	5	0	1		
361	Healing Wish	Psychic	Status	10	0	1		
362	Brine	Water	Special	10	65	1		
363	Natural Gift	Normal	Physical	15	0	1		
364	Feint	Normal	Physical	10	30	1		
365	Pluck	Flying	Physical	20	60	1		
366	Tailwind	Flying	Status	15	0	1		
367	Acupressure	Normal	Status	30	0	1		
368	Metal Burst	Steel	Physical	10	0	1		
369	U-turn	Bug	Physical	20	70	1		
370	Close Combat	Fighting	Physical	5	120	1		
371	Payback	Dark	Physical	10	50	1		
372	Assurance	Dark	Physical	10	60	1		
373	Embargo	Dark	Status	15	0	1		
374	Fling	Dark	Physical	10	0	1		
375	Psycho Shift	Psychic	Status	10	0	1		
376	Trump Card	Normal	Special	5	0	1		
377	Heal Block	Psychic	Status	15	0	1		
378	Wring Out	Normal	Special	5	0	1		
379	Power Trick	Psychic	Status	10	0	1		
380	Gastro Acid	Poison	Status	10	0	1		
381	Lucky Chant	Normal	Status	30	0	1		
382	Me First	Normal	Status	20	0	1		
383	Copycat	Normal	Status	20	0	1		
384	Power Swap	Psychic	Status	10	0	1		
385	Guard Swap	Psychic	Status	10	0	1		
386	Punishment	Dark	Physical	5	0	1		
387	Last Resort	Normal	Physical	5	140	1		
388	Worry Seed	Grass	Status	10	0	1		
389	Sucker Punch	Dark	Physical	5	70	1		
390	Toxic Spikes	Poison	Status	20	0	1	1	Poison
391	Heart Swap	Psychic	Status	10	0	1		
392	Aqua Ring	Water	Status	20	0	1		
393	Magnet Rise	Electric	Status	10	0	1		
394	Flare Blitz	Fire	Physical	15	120	1	0.1	Burn
395	Force Palm	Fighting	Physical	10	60	1	0.3	Paralysis
396	Aura Sphere	Fighting	Special	20	80	1		
397	Rock Polish	Rock	Status	20	0	1		
398	Poison Jab	Poison	Physical	20	80	1	0.3	Poison
399	Dark Pulse	Dark	Special	15	80	1		
400	Night Slash	Dark	Physical	15	70	1		
401	Aqua Tail	Water	Physical	10	90	0.9		
402	Seed Bomb	Grass	Physical	15	80	1		
403	Air Slash	Flying	Special	15	75	0.95		
404	X-Scissor	Bug	Physical	15	80	1		
405	Bug Buzz	Bug	Special	10	90	1		
406	Dragon Pulse	Dragon	Special	10	85	1		
407	Dragon Rush	Dragon	Physical	10	100	0.75		
408	Power Gem	Rock	Special	20	80	1		
409	Drain Punch	Fighting	Physical	10	75	1		
410	Vacuum Wave	Fighting	Special	30	40	1		
411	Focus Blast	Fighting	Special	5	120	0.7		
412	Energy Ball	Grass	Special	10	90	1		
413	Brave Bird	Flying	Physical	15	120	1		
414	Earth Power	Ground	Special	10	90	1		
415	Switcheroo	Dark	Status	10	0	1		
416	Giga Impact	Normal	Physical	5	150	0.9		
417	Nasty Plot	Dark	Status	20	0	1		
418	Bullet Punch	Steel	Physical	30	40	1		
419	Avalanche	Ice	Physical	10	60	1		
420	Ice Shard	Ice	Physical	30	40	1		
421	Shadow Claw	Ghost	Physical	15	70	1		
422	Thunder Fang	Electric	Physical	15	65	0.95	0.1	Paralysis,Flinch
423	Ice Fang	Ice	Physical	15	65	0.95	0.1	Flinch
424	Fire Fang	Fire	Physical	15	65	0.95	0.1	Burn
425	Shadow Sneak	Ghost	Physical	30	40	1		
426	Mud Bomb	Ground	Special	10	65	0.85		
427	Psycho Cut	Psychic	Physical	20	70	1		
428	Zen Headbutt	Psychic	Physical	15	80	0.9		
429	Mirror Shot	Steel	Special	10	65	0.85		
430	Flash Cannon	Steel	Special	10	80	1		
431	Rock Climb	Normal	Physical	20	90	0.85		
432	Defog	Flying	Status	15	0	1		
433	Trick Room	Psychic	Status	5	0	1		
434	Draco Meteor	Dragon	Special	5	130	0.9		
435	Discharge	Electric	Special	15	80	1	0.3	Paralysis
436	Lava Plume	Fire	Special	15	80	1	0.3	Burn
437	Leaf Storm	Grass	Special	5	130	0.9		
438	Power Whip	Grass	Physical	10	120	0.85		
439	Rock Wrecker	Rock	Physical	5	150	0.9		
440	Cross Poison	Poison	Physical	20	70	1	0.1	Poison
441	Gunk Shot	Poison	Physical	5	120	0.8	0.3	Poison
442	Iron Head	Steel	Physical	15	80	1		
443	Magnet Bomb	Steel	Physical	20	60	1		
444	Stone Edge	Rock	Physical	5	100	0.8		
445	Captivate	Normal	Status	20	0	1		
446	Stealth Rock	Rock	Status	20	0	1		
447	Grass Knot	Grass	Special	20	0	1		
448	Chatter	Flying	Special	20	65	1	1	Confusion
449	Judgment	Normal	Special	10	100	1		
450	Bug Bite	Bug	Physical	20	60	1		
451	Charge Beam	Electric	Special	10	50	0.9		
452	Wood Hammer	Grass	Physical	15	120	1		
453	Aqua Jet	Water	Physical	20	40	1		
454	Attack Order	Bug	Physical	15	90	1		
455	Defend Order	Bug	Status	10	0	1		
456	Heal Order	Bug	Status	10	0	1		
457	Head Smash	Rock	Physical	5	150	0.8		
458	Double Hit	Normal	Physical	10	35	0.9		
459	Roar of Time	Dragon	Special	5	150	0.9		
460	Spacial Rend	Dragon	Special	5	100	0.95		
461	Lunar Dance	Psychic	Status	10	0	1		
462	Crush Grip	Normal	Physical	5	0	1		
463	Magma Storm	Fire	Special	5	100	0.75		
464	Dark Void	Dark	Status	10	0	0.5	1	Sleep
465	Seed Flare	Grass	Special	5	120	0.85		
466	Ominous Wind	Ghost	Special	5	60	1		
467	Shadow Force	Ghost	Physical	5	120	1		
468	Hone Claws	Dark	Status	15	0	1		
469	Wide Guard	Rock	Status	10	0	1		
470	Guard Split	Psychic	Status	10	0	1		
471	Power Split	Psychic	Status	10	0	1		
472	Wonder Room	Psychic	Status	10	0	1		
473	Psyshock	Psychic	Special	10	80	1		
474	Venoshock	Poison	Special	10	65	1		
475	Autotomize	Steel	Status	15	0	1		
476	Rage Powder	Bug	Status	20	0	1		
477	Telekinesis	Psychic	Status	15	0	1		
478	Magic Room	Psychic	Status	10	0	1		
479	Smack Down	Rock	Physical	15	50	1		
480	Storm Throw	Fighting	Physical	10	60	1		
481	Flame Burst	Fire	Special	15	70	1		
482	Sludge Wave	Poison	Special	10	95	1	0.1	Poison
483	Quiver Dance	Bug	Status	20	0	1		
484	Heavy Slam	Steel	Physical	10	0	1		
485	Synchronoise	Psychic	Special	10	120	1		
486	Electro Ball	Electric	Special	10	0	1		
487	Soak	Water	Status	20	0	1		
488	Flame Charge	Fire	Physical	20	50	1		
489	Coil	Poison	Status	20	0	1		
490	Low Sweep	Fighting	Physical	20	65	1		
491	Acid Spray	Poison	Special	20	40	1		
492	Foul Play	Dark	Physical	15	95	1		
493	Simple Beam	Normal	Status	15	0	1		
494	Entrainment	Normal	Status	15	0	1		
495	After You	Normal	Status	15	0	1		
496	Round	Normal	Special	15	60	1		
497	Echoed Voice	Normal	Special	15	40	1		
498	Chip Away	Normal	Physical	20	70	1		
499	Clear Smog	Poison	Special	15	50	1		
500	Stored Power	Psychic	Special	10	20	1		
501	Quick Guard	Fighting	Status	15	0	1		
502	Ally Switch	Psychic	Status	15	0	1		
503	Scald	Water	Special	15	80	1	0.3	Burn
504	Shell Smash	Normal	Status	15	0	1		
505	Heal Pulse	Psychic	Status	10	0	1		
506	Hex	Ghost	Special	10	65	1		
507	Sky Drop	Flying	Physical	10	60	1		
508	Shift Gear	Steel	Status	10	0	1		
509	Circle Throw	Fighting	Physical	10	60	0.9		
510	Incinerate	Fire	Special	15	60	1		
511	Quash	Dark	Status	15	0	1		
512	Acrobatics	Flying	Physical	15	55	1		
513	Reflect Type	Normal	Status	15	0	1		
514	Retaliate	Normal	Physical	5	70	1		
515	Final Gambit	Fighting	Special	5	0	1		
516	Bestow	Normal	Status	15	0	1		
517	Inferno	Fire	Special	5	100	0.5	1	Burn
518	Water Pledge	Water	Special	10	80	1		
519	Fire Pledge	Fire	Special	10	80	1		
520	Grass Pledge	Grass	Special	10	80	1		
521	Volt Switch	Electric	Special	20	70	1		
522	Struggle Bug	Bug	Special	20	50	1		
523	Bulldoze	Ground	Physical	20	60	1		
524	Frost Breath	Ice	Special	10	60	0.9		
525	Dragon Tail	Dragon	Physical	10	60	0.9		
526	Work Up	Normal	Status	30	0	1		
527	Electroweb	Electric	Special	15	55	0.95		
528	Wild Charge	Electric	Physical	15	90	1		
529	Drill Run	Ground	Physical	10	80	0.95		
530	Dual Chop	Dragon	Physical	15	40	0.9		
531	Heart Stamp	Psychic	Physical	25	60	1		
532	Horn Leech	Grass	Physical	10	75	1		
533	Sacred Sword	Fighting	Physical	15	90	1		
534	Razor Shell	Water	Physical	10	75	0.95		
535	Heat Crash	Fire	Physical	10	0	1		
536	Leaf Tornado	Grass	Special	10	65	0.9		
537	Steamroller	Bug	Physical	20	65	1		
538	Cotton Guard	Grass	Status	10	0	1		
539	Night Daze	Dark	Special	10	85	0.95		
540	Psystrike	Psychic	Special	10	100	1		
541	Tail Slap	Normal	Physical	10	25	0.85		
542	Hurricane	Flying	Special	10	110	0.7	0.3	Confusion
543	Head Charge	Normal	Physical	15	120	1		
544	Gear Grind	Steel	Physical	15	50	0.85		
545	Searing Shot	Fire	Special	5	100	1	0.3	Burn
546	Techno Blast	Normal	Special	5	120	1		
547	Relic Song	Normal	Special	10	75	1	1	Sleep
548	Secret Sword	Fighting	Special	10	85	1		
549	Glaciate	Ice	Special	10	65	0.95		
550	Bolt Strike	Electric	Physical	5	130	0.85	0.2	Paralysis
551	Blue Flare	Fire	Special	5	130	0.85	0.2	Burn
552	Fiery Dance	Fire	Special	10	80	1		
553	Freeze Shock	Ice	Physical	5	140	0.9	0.3	Paralysis
554	Ice Burn	Ice	Special	5	140	0.9	0.3	Burn
555	Snarl	Dark	Special	15	55	0.95		
556	Icicle Crash	Ice	Physical	10	85	0.9		
557	V-create	Fire	Physical	5	180	0.95		
558	Fusion Flare	Fire	Special	5	100	1		
559	Fusion Bolt	Electric	Physical	5	100	1		
560	Flying Press	Fighting	Physical	10	100	0.95		
561	Mat Block	Fighting	Status	10	0	1		
562	Belch	Poison	Special	10	120	0.9		
563	Rototiller	Ground	Status	10	0	1		
564	Sticky Web	Bug	Status	20	0	1		
565	Fell Stinger	Bug	Physical	25	50	1		
566	Phantom Force	Ghost	Physical	10	90	1		
567	Trick-or-Treat	Ghost	Status	20	0	1		
568	Noble Roar	Normal	Status	30	0	1		
569	Ion Deluge	Electric	Status	25	0	1		
