ID	Name	Type	Action	Stat	Description	Buy	Sell	Discoverable
55	Nugget	General items	Money		A nugget of pure gold that gives off a lustrous gleam. It can be sold at a high price to shops.	4000	800	1
56	Escape Rope	General items	Escape		A long, durable rope. Use it to escape instantly from a cave or a dungeon.	200	40	1
57	Big Mushroom	General items	Money		A large and rare mushroom. It is sought after by collectors.	3000	600	1
58	Green Apricorn	General items	Apricorn		A green Apricorn. It has a mysterious, aromatic scent.	100	20	1
59	Relic Gold	General items	Money		A gold coin used in a civilization about 3,000 years ago.	5000	1000	1
60	Apricorn	General items	Apricorn		A fruit whose shell can be used to form the capsules of all manner of Poké Balls when crafting them from scratch.	100	20	1
61	Rare Bone	General items	Money		A bone that is extremely valuable for Pokémon archeology. It can be sold for a high price to shops.	6000	1200	1
62	Blue Apricorn	General items	Apricorn		A blue Apricorn. It smells a bit like grass.	100	20	1
63	Black Apricorn	General items	Apricorn		A black Apricorn It has an indescribable scent.	100	20	1
64	Big Nugget	General items	Price		A big nugget of pure gold that gives off a lustrous gleam. A maniac will buy it for a high price.	8000	1600	1
65	Lemonade	Medicine	Curr HP	70	Restores 70 HP.	350	70	1
66	Super Potion	Medicine	Curr HP	60	Restores 60 HP.	300	60	1
67	Energy Powder	Medicine	Curr HP	60	Restores 60 HP.	300	60	1
68	Soda Pop	Medicine	Curr HP	50	Restores 50 HP.	250	50	1
69	Fresh Water	Medicine	Curr HP	30	Restores 30 HP.	150	30	1
70	Potion	Medicine	Curr HP	20	Restores 20 HP.	100	20	1
71	Hyper Potion	Medicine	Curr HP	120	Restores 120 HP.	600	120	1
72	Energy Root	Medicine	Curr HP	120	Restores 120 HP.	600	120	1
73	Moomoo Milk	Medicine	Curr HP	100	Milk with a very high nutrition content. It restores the HP of one Pokémon by 100 points.	500	100	1
74	Exp. Candy XL	Medicine	Exp	30000	Increases the Pokémon's Exp points by 30,000.	20000	4000	1
75	Carbos	Medicine	Speed EV	10	Increases Speed EVs by 10.	1000	200	1
76	Swift Wing	Medicine	Speed EV	1	Increases Speed EVs by 1.	500	100	1
77	Zinc	Medicine	Sp Defense EV	10	Increases Special Defense EVs by 10.	1000	200	1
78	Clever Wing	Medicine	Sp Defense EV	1	Increases Special Defense EVs by 1.	500	100	1
79	Calcium	Medicine	Sp Attack EV	10	Increases Special Attack EVs by 10.	1000	200	1
80	Genius Wing	Medicine	Sp Attack EV	1	Increases Special Attack EVs by 1.	500	100	1
81	HP Up	Medicine	HP EV	10	Increases HP EVs by 10.	1000	200	1
82	Health Wing	Medicine	HP EV	1	Increases HP EVs by 1.	500	100	1
83	Iron	Medicine	Defense EV	10	Increases Defense EVs by 10.	1000	200	1
84	Resist Wing	Medicine	Defense EV	1	Increases Defense EVs by 1.	500	100	1
85	Protein	Medicine	Attack EV	10	Increases Attack EVs by 10.	1000	200	1
86	Muscle Wing	Medicine	Attack EV	1	Increases Attack EVs by 1.	500	100	1
87	Quick Candy L	Medicine	Speed	2	Increases a Pokémon's Speed stat.	800	160	1
88	Quick Candy XL	Medicine	Speed	3	Increases a Pokémon's Speed stat.	1000	200	1
89	Quick Candy	Medicine	Speed	1	Increases a Pokémon's Speed stat.	600	120	1
90	Courage Candy L	Medicine	Sp Defense	2	Increases a Pokémon's Special Defense stat.	800	160	1
91	Courage Candy XL	Medicine	Sp Defense	3	Increases a Pokémon's Special Defense stat.	1000	200	1
92	Courage Candy	Medicine	Sp Defense	1	Increases a Pokémon's Special Defense stat.	600	120	1
93	Smart Candy L	Medicine	Sp Attack	2	Increases a Pokémon's Special Attack stat.	800	160	1
94	Smart Candy XL	Medicine	Sp Attack	3	Increases a Pokémon's Special Attack stat.	1000	200	1
95	Smart Candy	Medicine	Sp Attack	1	Increases a Pokémon's Special Attack stat.	600	120	1
96	Health Candy L	Medicine	HP	2	Increases a Pokémon's HP stat.	800	160	1
97	Health Candy XL	Medicine	HP	3	Increases a Pokémon's HP stat.	1000	200	1
98	Health Candy	Medicine	HP	1	Increases a Pokémon's HP stat.	600	120	1
99	Tough Candy L	Medicine	Defense	2	Increases a Pokémon's Defense stat.	800	160	1
100	Tough Candy XL	Medicine	Defense	3	Increases a Pokémon's Defense stat.	1000	200	1
101	Tough Candy	Medicine	Defense	1	Increases a Pokémon's Defense stat.	600	120	1
102	Mighty Candy L	Medicine	Attack	2	Increases a Pokémon's Attack stat.	800	160	1
103	Mighty Candy XL	Medicine	Attack	3	Increases a Pokémon's Attack stat.	1000	200	1
104	Mighty Candy	Medicine	Attack	1	Increases a Pokémon's Attack stat.	600	120	1
105	Max Potion	Medicine	Curr HP	1	Fully restores HP.	900	180	1
106	Antidote	Medicine	Status	All	A spray-type medicine. It lifts the effect of poison from one Pokémon.	200	40	1
107	Full Heal	Medicine	Status	All	A spray-type medicine. It heals all the status problems of a single Pokémon.	200	40	1
108	Burn Heal	Medicine	Status	Burn	A spray-type medicine. It heals a single Pokémon that is suffering from a burn.	200	40	1
109	Paralyze Heal	Medicine	Status	Paralysis	A spray-type medicine. It eliminates paralysis from a single Pokémon.	200	40	1
110	Ice Heal	Medicine	Status	Frozen	A spray-type medicine. It defrosts a Pokémon that has been frozen solid.	200	40	1
111	Awakening	Medicine	Status	Sleep	A spray-type medicine. It awakens a Pokémon from the clutches of sleep.	200	40	1
112	Revive	Medicine	Revive		A medicine that revives a fainted Pokémon. It restores half the Pokémon's maximum HP.	1000	200	1
113	Max Revive	Medicine	Revive		A medicine that revives a fainted Pokémon. It fully restores the Pokémon's HP.	1500	300	1
114	Rare Candy	Medicine	Level	1	A candy that is packed with energy. It raises the level of a single Pokémon by one.	1000	200	1
115	Berry Juice	Medicine	HP	20	A 100% pure juice made of Berries. It restores the HP of one Pokémon by just 20 points.	200	40	1
116	Master Ball	Pokeballs	Ball	0	The best Ball with the ultimate level of performance. It will catch any wild Pokémon without fail.	99999	20000	1
117	Ultra Ball	Pokeballs	Ball	150	An ultra-performance Ball that provides a higher Pokémon catch rate than a Great Ball.	900	180	1
118	Great Ball	Pokeballs	Ball	200	A good, high-performance Ball that provides a higher Pokémon catch rate than a standard Poké Ball.	400	80	1
119	Poké Ball	Pokeballs	Ball	255	A device for catching wild Pokémon. It is thrown like a ball at the target. It is designed as a capsule system.	100	20	1
120	TM1	Machine	1		Teaches the move Pound.	1200	240	1
121	TM2	Machine	2		Teaches the move Karate Chop.	1500	300	1
122	TM3	Machine	3		Teaches the move Double Slap.	450	90	1
123	TM4	Machine	4		Teaches the move Comet Punch.	540	108	1
124	TM5	Machine	5		Teaches the move Mega Punch.	2400	480	1
125	TM6	Machine	6		Teaches the move Pay Day.	1200	240	1
126	TM7	Machine	7		Teaches the move Fire Punch.	2250	450	1
127	TM8	Machine	8		Teaches the move Ice Punch.	2250	450	1
128	TM9	Machine	9		Teaches the move Thunder Punch.	2250	450	1
129	TM10	Machine	10		Teaches the move Scratch.	1200	240	1
130	TM11	Machine	11		Teaches the move Vise Grip.	1650	330	1
131	TM12	Machine	12		Teaches the move Guillotine.	3000	600	1
132	TM13	Machine	13		Teaches the move Razor Wind.	2400	480	1
133	TM14	Machine	14		Teaches the move Swords Dance.	500	100	1
134	HM15	Machine	15		Teaches the move Cut.	1500	300	0
135	TM16	Machine	16		Teaches the move Gust.	1200	240	1
136	TM17	Machine	17		Teaches the move Wing Attack.	1800	360	1
137	TM18	Machine	18		Teaches the move Whirlwind.	500	100	1
138	HM19	Machine	19		Teaches the move Fly.	2700	540	0
139	TM20	Machine	20		Teaches the move Bind.	450	90	1
140	TM21	Machine	21		Teaches the move Slam.	2400	480	1
141	TM22	Machine	22		Teaches the move Vine Whip.	1350	270	1
142	TM23	Machine	23		Teaches the move Stomp.	1950	390	1
143	TM24	Machine	24		Teaches the move Double Kick.	900	180	1
144	TM25	Machine	25		Teaches the move Mega Kick.	3600	720	1
145	TM26	Machine	26		Teaches the move Jump Kick.	3000	600	1
146	TM27	Machine	27		Teaches the move Rolling Kick.	1800	360	1
147	TM28	Machine	28		Teaches the move Sand Attack.	1000	200	1
148	TM29	Machine	29		Teaches the move Headbutt.	2100	420	1
149	TM30	Machine	30		Teaches the move Horn Attack.	1950	390	1
150	TM31	Machine	31		Teaches the move Fury Attack.	450	90	1
151	TM32	Machine	32		Teaches the move Horn Drill.	7500	1500	1
152	TM33	Machine	33		Teaches the move Tackle.	1200	240	1
153	TM34	Machine	34		Teaches the move Body Slam.	2550	510	1
154	TM35	Machine	35		Teaches the move Wrap.	450	90	1
155	TM36	Machine	36		Teaches the move Take Down.	2700	540	1
156	TM37	Machine	37		Teaches the move Thrash.	3600	720	1
157	TM38	Machine	38		Teaches the move Double-Edge.	3600	720	1
158	TM39	Machine	39		Teaches the move Tail Whip.	500	100	1
159	TM40	Machine	40		Teaches the move Poison Sting.	450	90	1
160	TM41	Machine	41		Teaches the move Twineedle.	750	150	1
161	TM42	Machine	42		Teaches the move Pin Missile.	750	150	1
162	TM43	Machine	43		Teaches the move Leer.	500	100	1
163	TM44	Machine	44		Teaches the move Bite.	1800	360	1
164	TM45	Machine	45		Teaches the move Growl.	500	100	1
165	TM46	Machine	46		Teaches the move Roar.	500	100	1
166	TM47	Machine	47		Teaches the move Sing.	2000	400	1
167	TM48	Machine	48		Teaches the move Supersonic.	1000	200	1
168	TM49	Machine	49		Teaches the move Sonic Boom.	600	120	1
169	TM50	Machine	50		Teaches the move Disable.	1000	200	1
170	TM51	Machine	51		Teaches the move Acid.	1200	240	1
171	TM52	Machine	52		Teaches the move Ember.	1200	240	1
172	TM53	Machine	53		Teaches the move Flamethrower.	2700	540	1
173	TM54	Machine	54		Teaches the move Mist.	1000	200	1
174	TM55	Machine	55		Teaches the move Water Gun.	1200	240	1
175	TM56	Machine	56		Teaches the move Hydro Pump.	3300	660	1
176	TM57	Machine	57		Teaches the move Surf.	2700	540	1
177	TM58	Machine	58		Teaches the move Ice Beam.	2700	540	1
178	TM59	Machine	59		Teaches the move Blizzard.	3300	660	1
179	TM60	Machine	60		Teaches the move Psybeam.	1950	390	1
180	TM61	Machine	61		Teaches the move Bubble Beam.	1950	390	1
181	TM62	Machine	62		Teaches the move Aurora Beam.	1950	390	1
182	TM63	Machine	63		Teaches the move Hyper Beam.	4500	900	1
183	TM64	Machine	64		Teaches the move Peck.	1050	210	1
184	TM65	Machine	65		Teaches the move Drill Peck.	2400	480	1
185	TM66	Machine	66		Teaches the move Submission.	2400	480	1
186	TM67	Machine	67		Teaches the move Low Kick.	1000	200	1
187	TM68	Machine	68		Teaches the move Counter.	1000	200	1
188	TM69	Machine	69		Teaches the move Seismic Toss.	2000	400	1
189	HM70	Machine	70		Teaches the move Strength.	2400	480	0
190	TM71	Machine	71		Teaches the move Absorb.	600	120	1
191	TM72	Machine	72		Teaches the move Mega Drain.	1200	240	1
192	TM73	Machine	73		Teaches the move Leech Seed.	1000	200	1
193	TM74	Machine	74		Teaches the move Growth.	500	100	1
194	TM75	Machine	75		Teaches the move Razor Leaf.	1650	330	1
195	TM76	Machine	76		Teaches the move Solar Beam.	3600	720	1
196	TM77	Machine	77		Teaches the move Poison Powder.	1500	300	1
197	TM78	Machine	78		Teaches the move Stun Spore.	1500	300	1
198	TM79	Machine	79		Teaches the move Sleep Powder.	1500	300	1
199	TM80	Machine	80		Teaches the move Petal Dance.	3600	720	1
200	TM81	Machine	81		Teaches the move String Shot.	500	100	1
201	TM82	Machine	82		Teaches the move Dragon Rage.	3600	720	1
202	TM83	Machine	83		Teaches the move Fire Spin.	1050	210	1
203	TM84	Machine	84		Teaches the move Thunder Shock.	1200	240	1
204	TM85	Machine	85		Teaches the move Thunderbolt.	2700	540	1
205	TM86	Machine	86		Teaches the move Thunder Wave.	3500	700	1
206	TM87	Machine	87		Teaches the move Thunder.	3300	660	1
207	TM88	Machine	88		Teaches the move Rock Throw.	1500	300	1
208	TM89	Machine	89		Teaches the move Earthquake.	3000	600	1
209	TM90	Machine	90		Teaches the move Fissure.	2000	400	1
210	TM91	Machine	91		Teaches the move Dig.	2400	480	1
211	TM92	Machine	92		Teaches the move Toxic.	1000	200	1
212	TM93	Machine	93		Teaches the move Confusion.	1500	300	1
213	TM94	Machine	94		Teaches the move Psychic.	2700	540	1
214	TM95	Machine	95		Teaches the move Hypnosis.	1500	300	1
215	TM96	Machine	96		Teaches the move Meditate.	500	100	1
216	TM97	Machine	97		Teaches the move Agility.	500	100	1
217	TM98	Machine	98		Teaches the move Quick Attack.	1200	240	1
218	TM99	Machine	99		Teaches the move Rage.	600	120	1
219	TM100	Machine	100		Teaches the move Teleport.	500	100	1
220	TM101	Machine	101		Teaches the move Night Shade.	500	100	1
221	TM102	Machine	102		Teaches the move Mimic.	500	100	1
222	TM103	Machine	103		Teaches the move Screech.	500	100	1
223	TM104	Machine	104		Teaches the move Double Team.	500	100	1
224	TM105	Machine	105		Teaches the move Recover.	1000	200	1
225	TM106	Machine	106		Teaches the move Harden.	500	100	1
226	TM107	Machine	107		Teaches the move Minimize.	500	100	1
227	TM108	Machine	108		Teaches the move Smokescreen.	500	100	1
228	TM109	Machine	109		Teaches the move Confuse Ray.	500	100	1
229	TM110	Machine	110		Teaches the move Withdraw.	500	100	1
230	TM111	Machine	111		Teaches the move Defense Curl.	500	100	1
231	TM112	Machine	112		Teaches the move Barrier.	500	100	1
232	TM113	Machine	113		Teaches the move Light Screen.	500	100	1
233	TM114	Machine	114		Teaches the move Haze.	500	100	1
234	TM115	Machine	115		Teaches the move Reflect.	500	100	1
235	TM116	Machine	116		Teaches the move Focus Energy.	500	100	1
236	TM117	Machine	117		Teaches the move Bide.	500	100	1
237	TM118	Machine	118		Teaches the move Metronome.	500	100	1
238	TM119	Machine	119		Teaches the move Mirror Move.	500	100	1
239	TM120	Machine	120		Teaches the move Self-Destruct.	6000	1200	1
240	TM121	Machine	121		Teaches the move Egg Bomb.	3000	600	1
241	TM122	Machine	122		Teaches the move Lick.	900	180	1
242	TM123	Machine	123		Teaches the move Smog.	900	180	1
243	TM124	Machine	124		Teaches the move Sludge.	1950	390	1
244	TM125	Machine	125		Teaches the move Bone Club.	1950	390	1
245	TM126	Machine	126		Teaches the move Fire Blast.	3300	660	1
246	HM127	Machine	127		Teaches the move Waterfall.	2400	480	0
247	TM128	Machine	128		Teaches the move Clamp.	1050	210	1
248	TM129	Machine	129		Teaches the move Swift.	1800	360	1
249	TM130	Machine	130		Teaches the move Skull Bash.	3900	780	1
250	TM131	Machine	131		Teaches the move Spike Cannon.	600	120	1
251	TM132	Machine	132		Teaches the move Constrict.	300	60	1
252	TM133	Machine	133		Teaches the move Amnesia.	500	100	1
253	TM134	Machine	134		Teaches the move Kinesis.	500	100	1
254	TM135	Machine	135		Teaches the move Soft-Boiled.	500	100	1
255	TM136	Machine	136		Teaches the move High Jump Kick.	3900	780	1
256	TM137	Machine	137		Teaches the move Glare.	500	100	1
257	TM138	Machine	138		Teaches the move Dream Eater.	3000	600	1
258	TM139	Machine	139		Teaches the move Poison Gas.	500	100	1
259	TM140	Machine	140		Teaches the move Barrage.	450	90	1
260	TM141	Machine	141		Teaches the move Leech Life.	2400	480	1
261	TM142	Machine	142		Teaches the move Lovely Kiss.	500	100	1
262	TM143	Machine	143		Teaches the move Sky Attack.	4200	840	1
263	TM144	Machine	144		Teaches the move Transform.	500	100	1
264	TM145	Machine	145		Teaches the move Bubble.	1200	240	1
265	TM146	Machine	146		Teaches the move Dizzy Punch.	2100	420	1
266	TM147	Machine	147		Teaches the move Spore.	500	100	1
267	HM148	Machine	148		Teaches the move Flash.	1000	200	0
268	TM149	Machine	149		Teaches the move Psywave.	500	100	1
269	TM150	Machine	150		Teaches the move Splash.	500	100	1
270	TM151	Machine	151		Teaches the move Acid Armor.	500	100	1
271	TM152	Machine	152		Teaches the move Crabhammer.	3000	600	1
272	TM153	Machine	153		Teaches the move Explosion.	7500	1500	1
273	TM154	Machine	154		Teaches the move Fury Swipes.	540	108	1
274	TM155	Machine	155		Teaches the move Bonemerang.	1500	300	1
275	TM156	Machine	156		Teaches the move Rest.	500	100	1
276	TM157	Machine	157		Teaches the move Rock Slide.	2250	450	1
277	TM158	Machine	158		Teaches the move Hyper Fang.	2400	480	1
278	TM159	Machine	159		Teaches the move Sharpen.	500	100	1
279	TM160	Machine	160		Teaches the move Conversion.	500	100	1
280	TM161	Machine	161		Teaches the move Tri Attack.	2400	480	1
281	TM162	Machine	162		Teaches the move Super Fang.	500	100	1
282	TM163	Machine	163		Teaches the move Slash.	2100	420	1
283	TM164	Machine	164		Teaches the move Substitute.	500	100	1
284	TM165	Machine	165		Teaches the move Struggle.	1500	300	1
285	TM166	Machine	166		Teaches the move Sketch.	500	100	1
286	TM167	Machine	167		Teaches the move Triple Kick.	300	60	1
287	TM168	Machine	168		Teaches the move Thief.	1800	360	1
288	TM169	Machine	169		Teaches the move Spider Web.	500	100	1
289	TM170	Machine	170		Teaches the move Mind Reader.	500	100	1
290	TM171	Machine	171		Teaches the move Nightmare.	500	100	1
291	TM172	Machine	172		Teaches the move Flame Wheel.	1800	360	1
292	TM173	Machine	173		Teaches the move Snore.	1500	300	1
293	TM174	Machine	174		Teaches the move Curse.	500	100	1
294	TM175	Machine	175		Teaches the move Flail.	500	100	1
295	TM176	Machine	176		Teaches the move Conversion 2.	500	100	1
296	TM177	Machine	177		Teaches the move Aeroblast.	3000	600	1
297	TM178	Machine	178		Teaches the move Cotton Spore.	500	100	1
298	TM179	Machine	179		Teaches the move Reversal.	500	100	1
299	TM180	Machine	180		Teaches the move Spite.	500	100	1
300	TM181	Machine	181		Teaches the move Powder Snow.	1200	240	1
301	TM182	Machine	182		Teaches the move Protect.	500	100	1
302	TM183	Machine	183		Teaches the move Mach Punch.	1200	240	1
303	TM184	Machine	184		Teaches the move Scary Face.	500	100	1
304	TM185	Machine	185		Teaches the move Feint Attack.	1800	360	1
305	TM186	Machine	186		Teaches the move Sweet Kiss.	500	100	1
306	TM187	Machine	187		Teaches the move Belly Drum.	500	100	1
307	TM188	Machine	188		Teaches the move Sludge Bomb.	2700	540	1
308	TM189	Machine	189		Teaches the move Mud-Slap.	600	120	1
309	TM190	Machine	190		Teaches the move Octazooka.	1950	390	1
310	TM191	Machine	191		Teaches the move Spikes.	500	100	1
311	TM192	Machine	192		Teaches the move Zap Cannon.	3600	720	1
312	TM193	Machine	193		Teaches the move Foresight.	500	100	1
313	TM194	Machine	194		Teaches the move Destiny Bond.	500	100	1
314	TM195	Machine	195		Teaches the move Perish Song.	500	100	1
315	TM196	Machine	196		Teaches the move Icy Wind.	1650	330	1
316	TM197	Machine	197		Teaches the move Detect.	500	100	1
317	TM198	Machine	198		Teaches the move Bone Rush.	750	150	1
318	TM199	Machine	199		Teaches the move Lock-On.	500	100	1
319	TM200	Machine	200		Teaches the move Outrage.	3600	720	1
320	TM201	Machine	201		Teaches the move Sandstorm.	500	100	1
321	TM202	Machine	202		Teaches the move Giga Drain.	2250	450	1
322	TM203	Machine	203		Teaches the move Endure.	500	100	1
323	TM204	Machine	204		Teaches the move Charm.	500	100	1
324	TM205	Machine	205		Teaches the move Rollout.	900	180	1
325	TM206	Machine	206		Teaches the move False Swipe.	1200	240	1
326	TM207	Machine	207		Teaches the move Swagger.	500	100	1
327	TM208	Machine	208		Teaches the move Milk Drink.	500	100	1
328	TM209	Machine	209		Teaches the move Spark.	1950	390	1
329	TM210	Machine	210		Teaches the move Fury Cutter.	1200	240	1
330	TM211	Machine	211		Teaches the move Steel Wing.	2100	420	1
331	TM212	Machine	212		Teaches the move Mean Look.	500	100	1
332	TM213	Machine	213		Teaches the move Attract.	500	100	1
333	TM214	Machine	214		Teaches the move Sleep Talk.	500	100	1
334	TM215	Machine	215		Teaches the move Heal Bell.	500	100	1
335	TM216	Machine	216		Teaches the move Return.	500	100	1
336	TM217	Machine	217		Teaches the move Present.	500	100	1
337	TM218	Machine	218		Teaches the move Frustration.	500	100	1
338	TM219	Machine	219		Teaches the move Safeguard.	500	100	1
339	TM220	Machine	220		Teaches the move Pain Split.	500	100	1
340	TM221	Machine	221		Teaches the move Sacred Fire.	3000	600	1
341	TM222	Machine	222		Teaches the move Magnitude.	500	100	1
342	TM223	Machine	223		Teaches the move Dynamic Punch.	3000	600	1
343	TM224	Machine	224		Teaches the move Megahorn.	3600	720	1
344	TM225	Machine	225		Teaches the move Dragon Breath.	1800	360	1
345	TM226	Machine	226		Teaches the move Baton Pass.	500	100	1
346	TM227	Machine	227		Teaches the move Encore.	500	100	1
347	TM228	Machine	228		Teaches the move Pursuit.	1200	240	1
348	TM229	Machine	229		Teaches the move Rapid Spin.	1500	300	1
349	TM230	Machine	230		Teaches the move Sweet Scent.	500	100	1
350	TM231	Machine	231		Teaches the move Iron Tail.	3000	600	1
351	TM232	Machine	232		Teaches the move Metal Claw.	1500	300	1
352	TM233	Machine	233		Teaches the move Vital Throw.	2100	420	1
353	TM234	Machine	234		Teaches the move Morning Sun.	500	100	1
354	TM235	Machine	235		Teaches the move Synthesis.	500	100	1
355	TM236	Machine	236		Teaches the move Moonlight.	1000	200	1
356	TM237	Machine	237		Teaches the move Hidden Power.	1800	360	1
357	TM238	Machine	238		Teaches the move Cross Chop.	3000	600	1
358	TM239	Machine	239		Teaches the move Twister.	1200	240	1
359	TM240	Machine	240		Teaches the move Rain Dance.	500	100	1
360	TM241	Machine	241		Teaches the move Sunny Day.	500	100	1
361	TM242	Machine	242		Teaches the move Crunch.	2400	480	1
362	TM243	Machine	243		Teaches the move Mirror Coat.	500	100	1
363	TM244	Machine	244		Teaches the move Psych Up.	500	100	1
364	TM245	Machine	245		Teaches the move Extreme Speed.	2400	480	1
365	TM246	Machine	246		Teaches the move Ancient Power.	1800	360	1
366	TM247	Machine	247		Teaches the move Shadow Ball.	2400	480	1
367	TM248	Machine	248		Teaches the move Future Sight.	3600	720	1
368	HM249	Machine	249		Teaches the move Rock Smash.	1200	240	0
369	HM250	Machine	250		Teaches the move Whirlpool.	1050	210	0
370	TM251	Machine	251		Teaches the move Beat Up.	500	100	1
371	TM252	Machine	252		Teaches the move Fake Out.	1200	240	1
372	TM253	Machine	253		Teaches the move Uproar.	2700	540	1
373	TM254	Machine	254		Teaches the move Stockpile.	500	100	1
374	TM255	Machine	255		Teaches the move Spit Up.	500	100	1
375	TM256	Machine	256		Teaches the move Swallow.	500	100	1
376	TM257	Machine	257		Teaches the move Heat Wave.	2850	570	1
377	TM258	Machine	258		Teaches the move Hail.	800	160	1
378	TM259	Machine	259		Teaches the move Torment.	500	100	1
379	TM260	Machine	260		Teaches the move Flatter.	500	100	1
380	TM261	Machine	261		Teaches the move Will-O-Wisp.	1000	200	1
381	TM262	Machine	262		Teaches the move Memento.	800	160	1
382	TM263	Machine	263		Teaches the move Facade.	2100	420	1
383	TM264	Machine	264		Teaches the move Focus Punch.	4500	900	1
