ID	Name	Type	Category	PP	Power	Accuracy	Status Chance	Status	Times	Weather	P Critical Hits	P HP	P Attack	O Attack	P Defense	O Defense	P Sp Attack	O Sp Attack	P Sp Defense	O Sp Defense	P Speed	O Speed	Flinch	Description
59	Blizzard	Ice	Special	5	110	0.7	0.1	Freeze	1		0		0	0	0	0	0	0	0	0	0	0	0	A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.
60	Psybeam	Psychic	Special	20	65	1	0.1	Confusion	1		0		0	0	0	0	0	0	0	0	0	0	0	The target is attacked with a peculiar ray. This may also leave the target confused.
61	Bubble Beam	Water	Special	20	65	1			1		0		0	0	0	0	0	0	0	0	-1	0	0	A spray of bubbles is forcefully ejected at the target. This may also lower its Speed stat.
62	Aurora Beam	Ice	Special	20	65	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is hit with a rainbow-colored beam. This may also lower the target's Attack stat.
63	Hyper Beam	Normal	Special	5	150	0.9			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is attacked with a powerful beam. The user can't move on the next turn.
64	Peck	Flying	Physical	35	35	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is jabbed with a sharply pointed beak or horn.
65	Drill Peck	Flying	Physical	20	80	1			1		0		0	0	0	0	0	0	0	0	0	0	0	A corkscrewing attack with a sharp beak acting as a drill.
66	Submission	Fighting	Physical	20	80	0.8			1		0		0	0	0	0	0	0	0	0	0	0	0	The user grabs the target and recklessly dives for the ground. This also damages the user a little.
67	Low Kick	Fighting	Physical	20	0	1			1		0		0	0	0	0	0	0	0	0	0	0	0	A powerful low kick that makes the target fall over. The heavier the target, the greater the move's power.
68	Counter	Fighting	Physical	20	0	1			1		0		0	0	0	0	0	0	0	0	0	0	0	A retaliation move that counters any physical attack, inflicting double the damage taken.
69	Seismic Toss	Fighting	Physical	20	0	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is thrown using the power of gravity. It inflicts damage equal to the user's level.
70	Strength	Normal	Physical	15	80	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is slugged with a punch thrown at maximum power. This can also be used to move heavy boulders.
71	Absorb	Grass	Special	25	20	1			1		0		0	0	0	0	0	0	0	0	0	0	0	A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
72	Mega Drain	Grass	Special	15	40	1			1		0		0	0	0	0	0	0	0	0	0	0	0	A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
73	Leech Seed	Grass	Status	10	0	0.9			1		0		0	0	0	0	0	0	0	0	0	0	0	A seed is planted on the target. It steals some HP from the target every turn.
74	Growth	Normal	Status	20	0	1			1		0		0	0	0	0	1	0	0	0	0	0	0	The user's body grows all at once, raising the Attack and Sp. Atk stats.
75	Razor Leaf	Grass	Physical	25	55	0.95			1		1		0	0	0	0	0	0	0	0	0	0	0	Sharp-edged leaves are launched to slash at the opposing Pokémon. Critical hits land more easily.
76	Solar Beam	Grass	Special	10	120	1			1		0		0	0	0	0	0	0	0	0	0	0	0	A two-turn attack. The user gathers light, then blasts a bundled beam on the next turn.
77	Poison Powder	Poison	Status	35	0	0.75	1	Poison	1		0		0	0	0	0	0	0	0	0	0	0	0	The user scatters a cloud of poisonous dust on the target. This may also poison the target.
78	Stun Spore	Grass	Status	30	0	0.75	1	Paralysis	1		0		0	0	0	0	0	0	0	0	0	0	0	The user scatters a cloud of numbing powder that paralyzes the target.
79	Sleep Powder	Grass	Status	15	0	0.75	1	Sleep	1		0		0	0	0	0	0	0	0	0	0	0	0	The user scatters a big cloud of sleep-inducing dust around the target.
80	Petal Dance	Grass	Special	10	120	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The user attacks the target by scattering petals for two to three turns. The user then becomes confused.
81	String Shot	Bug	Status	40	0	0.95			1		0		0	0	0	0	0	0	0	0	0	-2	0	The opposing Pokémon are bound with silk blown from the user's mouth that harshly lowers the Speed stat.
82	Dragon Rage	Dragon	Special	10	0	1			1		0		0	0	0	0	0	0	0	0	0	0	0	This attack hits the target with a shock wave of pure rage. This attack always inflicts 40 HP damage.
83	Fire Spin	Fire	Special	15	35	0.85			1		0		0	0	0	0	0	0	0	0	0	0	0	The target becomes trapped within a fierce vortex of fire that rages for four to five turns.
84	Thunder Shock	Electric	Special	30	40	1	0.1	Paralysis	1		0		0	0	0	0	0	0	0	0	0	0	0	A jolt of electricity crashes down on the target to inflict damage. This may also leave the target with paralysis.
85	Thunderbolt	Electric	Special	15	90	1	0.1	Paralysis	1		0		0	0	0	0	0	0	0	0	0	0	0	A strong electric blast crashes down on the target. This may also leave the target with paralysis.
86	Thunder Wave	Electric	Status	20	0	0.9	1	Paralysis	1		0		0	0	0	0	0	0	0	0	0	0	0	The user launches a weak jolt of electricity that paralyzes the target.
87	Thunder	Electric	Special	10	110	0.7	0.3	Paralysis	1		0		0	0	0	0	0	0	0	0	0	0	0	A wicked thunderbolt is dropped on the target to inflict damage. This may also leave the target with paralysis.
88	Rock Throw	Rock	Physical	15	50	0.9			1		0		0	0	0	0	0	0	0	0	0	0	0	The user picks up and throws a small rock at the target to attack.
89	Earthquake	Ground	Physical	10	100	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The user sets off an earthquake that strikes every Pokémon around it.
90	Fissure	Ground	Physical	5	0	0.3			1		0		0	0	0	0	0	0	0	0	0	0	0	The user opens up a fissure in the ground and drops the target in. The target faints instantly if this attack hits.
91	Dig	Ground	Physical	10	80	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The user burrows, then attacks on the next turn. It can also be used to exit dungeons.
92	Toxic	Poison	Status	10	0	0.9	1	Poison	1		0		0	0	0	0	0	0	0	0	0	0	0	A move that leaves the target badly poisoned. Its poison damage worsens every turn.
93	Confusion	Psychic	Special	25	50	1	0.1	Confusion	1		0		0	0	0	0	0	0	0	0	0	0	0	The target is hit by a weak telekinetic force. This may also confuse the target.
94	Psychic	Psychic	Special	10	90	1			1		0		0	0	0	0	0	0	-1	0	0	0	0	The target is hit by a strong telekinetic force. This may also lower the target's Sp. Def stat.
95	Hypnosis	Psychic	Status	20	0	0.6	1	Sleep	1		0		0	0	0	0	0	0		0	0	0	0	The user employs hypnotic suggestion to make the target fall into a deep sleep.
96	Meditate	Psychic	Status	40	0	1			1		0		1	0	0	0	0	0		0	0	0	0	The user meditates to awaken the power deep within its body and raise its Attack stat.
97	Agility	Psychic	Status	30	0	1			1		0		0	0	0	0	0	0		0	2	0	0	The user relaxes and lightens its body to move faster. This sharply raises the Speed stat.
98	Quick Attack	Normal	Physical	30	40	1			1		0		0	0	0	0	0	0		0	0	0	0	The user lunges at the target at a speed that makes it almost invisible. This move always goes first.
99	Rage	Normal	Physical	20	20	1			1		0		1	0	0	0	0	0		0	0	0	0	As long as this move is in use, the power of rage raises the Attack stat each time the user is hit in battle.
100	Teleport	Psychic	Status	20	0	1			1		0		0	0	0	0	0	0		0	0	0	0	Use it to flee from any wild Pokémon. It can also warp to the last Pokémon Center visited.
101	Night Shade	Ghost	Special	15	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user makes the target see a frightening mirage. It inflicts damage equal to the user's level.
102	Mimic	Normal	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user copies the target's last move. The move can be used during battle until the Pokémon is switched out.
103	Screech	Normal	Status	40	0	0.85			1		0		0	0	0	-2	0	0		0	0	0	0	An earsplitting screech harshly lowers the target's Defense stat.
104	Double Team	Normal	Status	15	0	1			1		0		0	0	0	0	0	0		0	0	0	0	By moving rapidly, the user makes illusory copies of itself to raise its evasiveness.
105	Recover	Normal	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	Restoring its own cells, the user restores its own HP by half of its max HP.
106	Harden	Normal	Status	30	0	1			1		0		0	0	1	0	0	0		0	0	0	0	The user stiffens all the muscles in its body to raise its Defense stat.
107	Minimize	Normal	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user compresses its body to make itself look smaller, which sharply raises its evasiveness.
108	Smokescreen	Normal	Status	20	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user releases an obscuring cloud of smoke or ink. This lowers the target's accuracy.
109	Confuse Ray	Ghost	Status	10	0	1	1	Confusion	1		0		0	0	0	0	0	0		0	0	0	0	The target is exposed to a sinister ray that triggers confusion.
110	Withdraw	Water	Status	40	0	1			1		0		0	0	1	0	0	0		0	0	0	0	The user withdraws its body into its hard shell, raising its Defense stat.
111	Defense Curl	Normal	Status	40	0	1			1		0		0	0	1	0	0	0		0	0	0	0	The user curls up to conceal weak spots and raise its Defense stat.
112	Barrier	Psychic	Status	20	0	1			1		0		0	0	2	0	0	0		0	0	0	0	The user throws up a sturdy wall that sharply raises its Defense stat.
113	Light Screen	Psychic	Status	30	0	1			1		0		0	0	0	0	0	0		0	0	0	0	A wondrous wall of light is put up to reduce damage from special attacks for five turns.
114	Haze	Ice	Status	30	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle.
115	Reflect	Psychic	Status	20	0	1			1		0		0	0	0	0	0	0		0	0	0	0	A wondrous wall of light is put up to reduce damage from physical attacks for five turns.
116	Focus Energy	Normal	Status	30	0	1			1		1		0	0	0	0	0	0	0	0	0	0	0	The user takes a deep breath and focuses so that critical hits land more easily.
117	Bide	Normal	Physical	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user endures attacks for two turns, then strikes back to cause double the damage taken.
118	Metronome	Normal	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user waggles a finger and stimulates its brain into randomly using nearly any move.
119	Mirror Move	Flying	Status	20	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user counters the target by mimicking the target's last move.
120	Self-Destruct	Normal	Physical	5	200	1			1		0		0	0	0	0	0	0		0	0	0	0	The user attacks everything around it by causing an explosion. The user faints upon using this move.
121	Egg Bomb	Normal	Physical	10	100	0.75			1		0		0	0	0	0	0	0		0	0	0	0	A large egg is hurled at the target with maximum force to inflict damage.
122	Lick	Ghost	Physical	30	30	1	0.3	Paralysis	1		0		0	0	0	0	0	0		0	0	0	0	The target is licked with a long tongue, causing damage. This may also leave the target with paralysis.
123	Smog	Poison	Special	20	30	0.7	0.4	Poison	1		0		0	0	0	0	0	0		0	0	0	0	The target is attacked with a discharge of filthy gases. This may also poison the target.
124	Sludge	Poison	Special	20	65	1	0.3	Poison	1		0		0	0	0	0	0	0		0	0	0	0	Unsanitary sludge is hurled at the target. This may also poison the target.
125	Bone Club	Ground	Physical	20	65	0.85			1		0		0	0	0	0	0	0		0	0	0	1	The user clubs the target with a bone. This may also make the target flinch.
126	Fire Blast	Fire	Special	5	110	0.85	0.3	Burn	1		0		0	0	0	0	0	0		0	0	0	0	The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn.
127	Waterfall	Water	Physical	15	80	1			1		0		0	0	0	0	0	0		0	0	0	1	The user charges at the target and may make it flinch. This can also be used to climb a waterfall.
128	Clamp	Water	Physical	15	35	0.85			1		0		0	0	0	0	0	0		0	0	0	0	The target is clamped and squeezed by the user's very thick and sturdy shell for four to five turns.
129	Swift	Normal	Special	20	60	1			1		0		0	0	0	0	0	0		0	0	0	0	Star-shaped rays are shot at the opposing Pokémon. This attack never misses.
130	Skull Bash	Normal	Physical	10	130	1			1		0		0	0	1	0	0	0		0	0	0	0	The user tucks in its head to raise its Defense in the first turn, then rams the target on the next turn.
131	Spike Cannon	Normal	Physical	15	20	1			2,5		0		0	0	0	0	0	0		0	0	0	0	Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.
132	Constrict	Normal	Physical	35	10	1			1		0		0	0	0	0	0	0		0	0	-1	0	The target is attacked with long, creeping tentacles or vines. This may also lower the target's Speed stat.
133	Amnesia	Psychic	Status	20	0	1			1		0		0	0	0	0	0	0	2	0	0	0	0	The user temporarily empties its mind to forget its concerns. This sharply raises the user's Sp. Def stat.
134	Kinesis	Psychic	Status	15	0	0.8			1		0		0	0	0	0	0	0		0	0	0	0	The user distracts the target by bending a spoon. This lowers the target's accuracy.
135	Soft-Boiled	Normal	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user restores its own HP by up to half of its max HP. May also be used in the field to heal HP.
136	High Jump Kick	Fighting	Physical	10	130	0.9			1		0		0	0	0	0	0	0		0	0	0	0	The target is attacked with a knee kick from a jump. If it misses, the user is hurt instead.
137	Glare	Normal	Status	30	0	1	1	Paralysis	1		0		0	0	0	0	0	0		0	0	0	0	The user intimidates the target with the pattern on its belly to cause paralysis.
138	Dream Eater	Psychic	Special	15	100	1			1		0		0	0	0	0	0	0		0	0	0	0	The user eats the dreams of a sleeping target. It absorbs half the damage caused to heal its own HP.
139	Poison Gas	Poison	Status	40	0	0.9	1	Poison	1		0		0	0	0	0	0	0		0	0	0	0	A cloud of poison gas is sprayed in the face of opposing Pokémon. This may also poison those hit.
140	Barrage	Normal	Physical	20	15	0.85			2,5		0		0	0	0	0	0	0		0	0	0	0	Round objects are hurled at the target to strike two to five times in a row.
141	Leech Life	Bug	Physical	10	80	1			1		0		0	0	0	0	0	0		0	0	0	0	The user drains the target's blood. The user's HP is restored by half the damage taken by the target.
142	Lovely Kiss	Normal	Status	10	0	0.75	1	Sleep	1		0		0	0	0	0	0	0		0	0	0	0	With a scary face, the user tries to force a kiss on the target. If it succeeds, the target falls asleep.
143	Sky Attack	Flying	Physical	5	140	0.9			1		1		0	0	0	0	0	0	0	0	0	0	1	A second-turn attack move where critical hits land more easily. This may also make the target flinch.
144	Transform	Normal	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user transforms into a copy of the target right down to having the same move set.
145	Bubble	Water	Special	30	40	1			1		0		0	0	0	0	0	0		0	0	-1	0	A spray of countless bubbles is jetted at the opposing Pokémon. This may also lower their Speed stats.
146	Dizzy Punch	Normal	Physical	10	70	1			1		0		0	0	0	0	0	0		0	0	0	0	The target is hit with rhythmically launched punches. This may also leave the target confused.
147	Spore	Grass	Status	15	0	1	1	Sleep	1		0		0	0	0	0	0	0		0	0	0	0	The user scatters bursts of spores that induce sleep.
148	Flash	Normal	Status	20	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user flashes a bright light that cuts the target's accuracy. It can also be used to illuminate dark caves.
149	Psywave	Psychic	Special	15	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The target is attacked with an odd psychic wave. The attack varies in intensity.
150	Splash	Normal	Status	40	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user just flops and splashes around to no effect at all...
151	Acid Armor	Poison	Status	20	0	1			1		0		0	0	2	0	0	0		0	0	0	0	The user alters its cellular structure to liquefy itself, sharply raising its Defense stat.
152	Crabhammer	Water	Physical	10	100	0.9			1		1		0	0	0	0	0	0	0	0	0	0	0	The target is hammered with a large pincer. Critical hits land more easily.
153	Explosion	Normal	Physical	5	250	1			1		0		0	0	0	0	0	0		0	0	0	0	The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move.
154	Fury Swipes	Normal	Physical	15	18	0.8			2,5		0		0	0	0	0	0	0		0	0	0	0	The target is raked with sharp claws or scythes quickly two to five times in a row.
155	Bonemerang	Ground	Physical	10	50	0.9			1		0		0	0	0	0	0	0		0	0	0	0	The user throws the bone it holds. The bone loops to hit the target twice, coming and going.
156	Rest	Psychic	Status	10	0	1	1	Sleep	1		0		0	0	0	0	0	0		0	0	0	0	The user goes to sleep for two turns. This fully restores the user's HP and heals any status conditions.
157	Rock Slide	Rock	Physical	10	75	0.9			1		0		0	0	0	0	0	0		0	0	0	1	Large boulders are hurled at the opposing Pokémon to inflict damage. This may also make the opposing Pokémon flinch.
158	Hyper Fang	Normal	Physical	15	80	0.9			1		0		0	0	0	0	0	0		0	0	0	1	The user bites hard on the target with its sharp front fangs. This may also make the target flinch.
159	Sharpen	Normal	Status	30	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user lowers its polygon count to make itself more jagged, raising the Attack stat.
160	Conversion	Normal	Status	30	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user changes its type to become the same type as the move at the top of the list of moves it knows.
161	Tri Attack	Normal	Special	10	80	1	0.2	Paralysis,Freeze,Burn	1		0		0	0	0	0	0	0		0	0	0	0	The user strikes with a simultaneous three-beam attack. May also burn, freeze, or leave the target with paralysis.
162	Super Fang	Normal	Physical	10	0	0.9			1		0		0	0	0	0	0	0		0	0	0	0	The user chomps hard on the target with its sharp front fangs. This cuts the target's HP in half.
163	Slash	Normal	Physical	20	70	1			1		1		0	0	0	0	0	0	0	0	0	0	0	The target is attacked with a slash of claws or blades. Critical hits land more easily.
164	Substitute	Normal	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user makes a copy of itself using some of its HP. The copy serves as the user's decoy.
165	Struggle	Normal	Physical	1	50	1			1		0		0	0	0	0	0	0		0	0	0	0	Only usable when all PP are gone. Hurts the user.
166	Sketch	Normal	Status	1	0	1			1		0		0	0	0	0	0	0		0	0	0	0	It enables the user to permanently learn the move last used by the target. Once used, Sketch disappears.
167	Triple Kick	Fighting	Physical	10	10	0.9			1		0		0	0	0	0	0	0		0	0	0	0	A consecutive three-kick attack that becomes more powerful with each successive hit.
168	Thief	Dark	Physical	25	60	1			1		0		0	0	0	0	0	0		0	0	0	0	The user attacks and steals the target's held item simultaneously. The user can't steal anything if it already holds an item.
169	Spider Web	Bug	Status	10	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user ensnares the target with thin, gooey silk so it can't flee from battle.
170	Mind Reader	Normal	Status	5	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user senses the target's movements with its mind to ensure its next attack does not miss the target.
171	Nightmare	Ghost	Status	15	0	1			1		0		0	0	0	0	0	0		0	0	0	0	A sleeping target sees a nightmare that inflicts some damage every turn.
172	Flame Wheel	Fire	Physical	25	60	1	0.1	Burn	1		0		0	0	0	0	0	0		0	0	0	0	The user cloaks itself in fire and charges at the target. This may also leave the target with a burn.
173	Snore	Normal	Special	15	50	1			1		0		0	0	0	0	0	0		0	0	0	1	An attack that can be used only if the user is asleep. The harsh noise may also make the target flinch.
174	Curse	Ghost	Status	10	0	1	1	Confusion	1		0		0	0	0	0	0	0		0	0	0	0	A move that works differently for the Ghost type than for all other types.
175	Flail	Normal	Physical	15	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user flails about aimlessly to attack. The less HP the user has, the greater the move's power.
176	Conversion 2	Normal	Status	30	0	1			1		0		0	0	0	0	0	0		0	0	0	0	The user changes its type to make itself resistant to the type of the attack the opponent used last.
