ID	Pid	Pname	Tid	Tname	Plname	Full Name	Gender	Name	Level	Moves	Battles	Status	Curr HP	HP	Exp	Attack	Defense	Sp Attack	Sp Defense	Speed	HP IV	Attack IV	Defense IV	Sp Attack IV	Sp Defense IV	Speed IV	HP EV	Attack EV	Defense EV	Sp Attack EV	Sp Defense EV	Speed EV	Curr Attack	Curr Defense	Curr Sp Attack	Curr Sp Defense	Curr Speed	Flinched
6	779	Bruxish	8	Gym Leader Reina	DM	Gym Leader Reina's Bruxish	Female		12	263,478,495,371	0		22	22	0	33	23	25	22	29	19	25	16	27	6	19	0	0	0	0	0	0	33	23	25	22	29	0
15	418	Buizel	8	Gym Leader Reina	DM	Gym Leader Reina's Buizel	Male		12	352,316,104,240	0		22	22	0	23	14	22	14	25	1	24	10	26	20	2	0	0	0	0	0	0	23	14	22	14	25	0
18	350	Milotic	8	Gym Leader Reina	DM	Gym Leader Reina's Milotic	Male		12	784,523,38,263	0		22	22	0	22	26	29	35	26	24	27	24	5	3	19	0	0	0	0	0	0	22	26	29	35	26	0
21	211	Qwilfish	8	Gym Leader Reina	DM	Gym Leader Reina's Qwilfish	Male		13	269,92,799,214	0		23	23	0	33	31	21	20	27	13	31	30	18	8	2	0	0	0	0	0	0	31	29	20	19	25	0
19	229	Houndoom	9	Gym Leader Geraldo	DM	Gym Leader Geraldo's Houndoom	Female		62	92,445,675,102	0		72	72	0	125	117	196	122	154	3	15	1	29	9	11	0	0	0	0	0	0	125	117	196	122	154	0
24	799	Guzzlord	9	Gym Leader Geraldo	DM	Gym Leader Geraldo's Guzzlord	Male		57	337,182,798,104	0		67	67	0	130	75	127	67	68	11	18	18	21	3	25	0	0	0	0	0	0	130	75	127	67	68	0
29	727	Incineroar	9	Gym Leader Geraldo	DM	Gym Leader Geraldo's Incineroar	Female		59	370,289,374,523	0		69	69	0	148	128	105	118	79	11	14	29	11	13	7	0	0	0	0	0	0	148	128	105	118	79	0
30	53	Persian	9	Gym Leader Geraldo	DM	Gym Leader Geraldo's Persian	Male		58	36,29,332,214	0		68	68	0	78	92	93	88	145	5	7	30	3	14	13	0	0	0	0	0	0	78	92	93	88	145	0
31	235	Smeargle	10	Xander the All-Knowing	DM	Xander the All-Knowing's Smeargle	Male		47	166,166,166,166	0		57	57	0	29	46	32	56	90	1	13	19	18	20	31	0	0	0	0	0	0	29	46	32	56	90	0
32	337	Lunatone	10	Xander the All-Knowing	DM	Xander the All-Knowing's Lunatone	Male		52	115,277,89,444	0		62	62	0	73	85	115	94	85	12	21	25	22	3	14	0	0	0	0	0	0	73	85	115	94	85	0
33	34	Nidoking	10	Xander the All-Knowing	DM	Xander the All-Knowing's Nidoking	Female		52	496,157,445,203	0		62	62	0	114	87	93	88	102	28	7	4	1	10	18	0	0	0	0	0	0	114	87	93	88	102	0
34	97	Hypno	10	Xander the All-Knowing	DM	Xander the All-Knowing's Hypno	Female		50	25,290,213,447	0		60	60	0	79	78	92	125	84	8	3	7	28	10	24	0	0	0	0	0	0	79	78	92	125	84	0
35	336	Seviper	10	Xander the All-Knowing	DM	Xander the All-Knowing's Seviper	Male		50	249,263,189,269	0		60	60	0	107	68	105	71	79	30	5	6	1	12	19	0	0	0	0	0	0	107	68	105	71	79	0
9	778	Mimikyu	11	Rei	Rin	Rei's Mimikyu (Guzma)	Female	Guzma	10	343,85,289	0		14	20	312	23	21	18	27	27	6	2	8	30	17	29	0	0	0	0	0	0	12	11	10	14	13	0
36	301	Delcatty	11	Rei	Rin	Rei's Delcatty	Male		7	347,249,203	0		4	17	107	14	15	13	13	18	29	7	19	12	9	19	0	0	0	0	0	0	10	10	9	9	12	0
38	232	Donphan	3	Lily	Ryan	Lily's Donphan (Random 2)	Male	Random 2	10	397,68,263,46	0		20	20	0	30	30	19	18	15	10	16	19	24	10	4	0	0	0	0	0	0	30	30	19	18	15	0
37	122	Mr. Mime	5	Sage	Anthony	Sage's Mr. Mime (Mime)	Female	Mime	5	595,472,351	0		15	15	0	10	12	15	17	14	25	10	15	9	6	6	0	0	0	0	0	0	10	12	15	17	14	0
41	717	Yveltal				Wild Yveltal	Male		52	173,168,366,371	0		62	62	0	157	115	152	108	112	7	31	22	21	3	9	0	0	0	0	0	0	157	115	152	108	112	0
42	275	Shiftry				Wild Shiftry	Male		47	279,580,25,182	0		57	57	0	105	73	99	74	81	1	14	25	21	28	3	0	0	0	0	0	0	105	73	99	74	81	0
39	51	Dugtrio				Wild Dugtrio	Female	Dug	54	251,526,213,216	0		64	64	0	128	78	63	90	128	25	29	16	8	18	9	0	0	0	0	0	0	128	78	63	90	128	0
